City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Danjiangkou,CN,2021-08-13 01:23:23,32.5428,111.5086,68.72,97,100,1.97
244,Takoradi,GH,2021-08-13 01:23:23,4.8845,-1.7554,75.49,85,75,9.06
245,Adrar,MR,2021-08-13 01:23:23,20.5022,-10.0711,93.76,12,95,16.49
246,Bambanglipuro,ID,2021-08-13 01:23:24,-7.95,110.2833,78.93,81,88,10.36
247,Luanda,AO,2021-08-13 01:21:06,-8.8368,13.2343,71.6,83,75,5.75
248,Jalu,LY,2021-08-13 01:23:24,29.0331,21.5482,85.35,46,0,13.18
249,Tumarbong,PH,2021-08-13 01:23:25,10.3766,119.4579,84.7,63,100,1.12
250,San Martin,AR,2021-08-13 01:23:25,-33.081,-68.4681,51.87,40,0,7.56
251,Magdagachi,RU,2021-08-13 01:23:25,53.45,125.8,70.52,54,13,4.38
252,Port Macquarie,AU,2021-08-13 01:23:26,-31.4333,152.9167,64.36,60,39,2.89
253,San Borja,BO,2021-08-13 01:23:26,-14.8167,-66.85,66.38,52,10,4.12
254,Geraldton,AU,2021-08-13 01:23:26,-28.7667,114.6,52.21,71,0,16.11
255,Sibolga,ID,2021-08-13 01:23:27,1.7427,98.7792,78.13,84,82,1.92
256,Guamuchil,MX,2021-08-13 01:23:27,25.4667,-108.1,86.88,68,45,5.35
257,Maraa,BR,2021-08-13 01:23:27,-1.8333,-65.3667,72.88,91,52,3.42
258,Nerekhta,RU,2021-08-13 01:23:28,57.4588,40.5747,64.29,97,100,7.18
259,Poum,NC,2021-08-13 01:21:18,-20.2333,164.0167,71.85,61,19,11.32
260,Salalah,OM,2021-08-13 01:23:28,17.0151,54.0924,77.09,83,75,3.44
261,Mazamari,PE,2021-08-13 01:23:29,-11.3258,-74.5308,74.28,73,97,1.92
262,Nemuro,JP,2021-08-13 01:19:08,43.3236,145.575,63.03,69,18,5.64
263,Bluefields,NI,2021-08-13 01:23:29,12.0137,-83.7635,77.76,89,100,4.88
264,Zaragoza,ES,2021-08-13 01:21:59,41.6561,-0.8773,80.74,65,0,11.01
265,Ponta Delgada,PT,2021-08-13 01:23:30,37.7333,-25.6667,74.12,83,20,10.36
266,Vila Velha,BR,2021-08-13 01:21:43,-20.3297,-40.2925,71.55,88,20,5.75
267,Klaksvik,FO,2021-08-13 01:23:30,62.2266,-6.589,54.52,91,100,14.94
268,Grand-Santi,GF,2021-08-13 01:23:31,4.25,-54.3833,73.44,97,96,1.81
269,San Patricio,US,2021-08-13 01:23:31,28.017,-97.5169,87.66,64,100,12.59
270,Akyab,MM,2021-08-13 01:23:32,20.15,92.9,81.09,86,100,4.83
271,Grajau,BR,2021-08-13 01:23:32,-5.8194,-46.1386,81.03,38,35,4.27
272,Sorong,ID,2021-08-13 01:23:32,-0.8833,131.25,80.74,80,19,2.71
273,Dickinson,US,2021-08-13 01:23:33,29.4608,-95.0513,88.02,74,20,1.99
274,Wufeng,CN,2021-08-13 01:23:33,27.45,104.8333,61.52,99,100,3.38
275,Tonstad,NO,2021-08-13 01:23:33,58.6626,6.7169,61.36,97,100,1.61
276,Volchikha,RU,2021-08-13 01:23:34,52.0333,80.3833,57.96,85,100,10.63
277,Kjollefjord,NO,2021-08-13 01:23:34,70.9457,27.3465,51.89,88,100,2.17
278,Asau,RO,2021-08-13 01:23:34,46.4333,26.4,62.76,80,84,3.0
279,Sinnamary,GF,2021-08-13 01:23:35,5.3833,-52.95,79.0,87,99,8.52
280,Kaitangata,NZ,2021-08-13 01:23:35,-46.2817,169.8464,51.75,66,6,7.7
281,Bontang,ID,2021-08-13 01:23:35,0.1333,117.5,78.4,85,100,1.97
